Province_State,2020_Confirmed,2021_Confirmed,2022_Confirmed,Population,2020_Deaths,2021_Deaths,2022_Deaths,2020_Incident_Rate,2021_Incident_Rate,2022_Incident_Rate
Alabama,1083678,1592601,1559088,4903185,4827,11583,3434,0.22101511568500884,0.32480948607894666,0.3179745410381211
Alaska,47014,110150,124034,740995,206,772,331,0.06344712177545057,0.14865147538107545,0.1673884439166256
Arizona,520207,851221,789472,7278717,8864,15214,6344,0.07146960102996174,0.11694657176532622,0.10846307117037247
Arkansas,225138,337044,327119,3017804,3676,5437,2498,0.07460325455198548,0.11168518565155325,0.10839637034081737
California,2385340,3084426,5122733,39512223,25848,50220,16839,0.060369673455224225,0.07806257825584756,0.12964932395729797
Colorado,334097,592114,661854,5758736,4814,5398,2679,0.058015682608127894,0.10282013275135377,0.11493042917751395
Connecticut,185708,324480,339707,3565287,5995,3165,1939,0.05208781228551867,0.09101090599438419,0.09528181041245767
Delaware,57456,122302,108972,973764,1061,1221,738,0.05900402972383452,0.1255971672807785,0.11190801878073127
District of Columbia,28983,65034,67129,705749,786,423,152,0.04106700824230711,0.0921489084646241,0.09511738592615789
Florida,1323315,2886612,2544795,21477737,21673,40831,14782,0.06161333477544678,0.13440019309296877,0.11848524823634818
Georgia,666452,1162290,881512,10617423,10934,20485,7490,0.06276965700622458,0.10947006632400348,0.08302504289411847
Hawaii,22007,90535,206227,1415872,288,801,454,0.015543071690096279,0.06394292704425258,0.14565370315960766
Idaho,141077,178305,156844,1787065,1436,2726,855,0.07894340720678879,0.09977532994043306,0.08776625360577259
Illinois,963389,1186185,1398430,12671821,17978,13039,7813,0.07602608969934155,0.09360809310674448,0.11035746164659364
Indiana,511485,729081,569819,6732219,9390,9569,5026,0.07597569241285823,0.10829727909920935,0.08464059175733885
Iowa,281712,292521,239354,3155070,3891,3960,1901,0.08928866871416483,0.09271458319466763,0.07586329304896564
Kansas,225212,290280,307753,2913314,2755,4114,1960,0.07730440316423152,0.09963910515653307,0.10563674221179042
Kentucky,265261,590884,597316,4467673,2623,9495,4243,0.05937341430315066,0.1322576652319899,0.13369734087521626
Louisiana,315275,513420,539092,4648794,7488,7498,2536,0.06781866436757576,0.11044154677535722,0.11596383922367823
Maine,24201,121834,128252,1344212,347,1179,934,0.01800385653453473,0.09063600086891056,0.09541054536040446
Maryland,276662,440595,438131,6045680,5895,5816,3184,0.04576193248732979,0.07287765809635971,0.07247009434836114
Massachusetts,375178,765436,815230,6892503,10522,6184,4421,0.05443276557152024,0.11105341557341361,0.11827778674887773
Michigan,528621,1181704,961987,9986857,13018,16002,8408,0.052931668091372494,0.11832591575107164,0.09632530034223981
Minnesota,415302,606910,558296,5639632,5382,5274,2586,0.073639911256621,0.10761517772790849,0.09899511173778715
Mississippi,215811,325351,326823,2976149,4787,5634,2159,0.07251350654822726,0.10931945947598726,0.10981405836871742
Missouri,440756,568439,547780,6626371,5724,10480,4855,0.06651544261557345,0.08578436070060068,0.08266666626423422
Montana,81555,116169,96616,1068778,961,1945,561,0.07630677278162537,0.10869329271373475,0.09039856733577974
Nebraska,166798,170541,175808,1934408,1651,1670,1028,0.08622689732465953,0.0881618562371537,0.09088465308249345
